product_id,product_name,category,sub_category,cost_price,list_price,supplier_name
PRD-00054,Nimbus Bedding Deluxe 865,Home & Kitchen,Bedding,1009.45,1277.14,Nimbus Egypt Distribution
PRD-00053,Orbex Bedding Classic 403,Home & Kitchen,Bedding,731.33,933.2,Orbex Egypt Distribution
PRD-00161,Verve Fitness Equipment Pro 881,Sports & Outdoors,Fitness Equipment,,1342.19,Verve Egypt Distribution
PRD-00125,Zenvo Personal Hygiene Gentle 353,Beauty & Personal Care,Personal Hygiene,123.7,151.72,Zenvo Egypt Distribution
PRD-00162,Nexis Fitness Equipment Endurance 345,Sports & Outdoors,Fitness Equipment,,1009.35,Nexis Egypt Distribution
PRD-00047,Solara Home Decor Classic 385,Home & Kitchen,Home Decor,1441.62,EGP 3368.82,Solara Egypt Distribution
PRD-00052,Drexel Appliances Premium 533,Home & Kitchen,Appliances,2120.12,4557.53,Drexel Egypt Distribution
PRD-00103,Nexis Haircare Pure 324,Beauty & Personal Care,Haircare,112.67,275.52,Nexis Egypt Distribution
PRD-00144,Drexel Pantry Staples Classic 558,Groceries,Pantry Staples,160.66,212.23,Drexel Egypt Distribution
PRD-00042,Verve Home Decor Modern 584,Home & Kitchen,Home Decor,804.69,1460.4,Verve Egypt Distribution
PRD-00101,Verve Haircare Nourishing 835,Beauty & Personal Care,Haircare,357.29,658.37,Verve Egypt Distribution
PRD-00164,Zenvo Fitness Equipment Endurance 395,Sports & Outdoors,Fitness Equipment,2857.13,6039.64,Zenvo Egypt Distribution
PRD-00113,Solara Makeup Gentle 311,Beauty & Personal Care,Makeup,421.46,719.15,Solara Egypt Distribution
PRD-00156,Solara Frozen Foods Classic 175,Groceries,Frozen Foods,119.63,250.31,Solara Egypt Distribution
PRD-00102,Lumora Haircare Nourishing 771,Beauty & Personal Care,Haircare,353.18,833.67,Lumora Egypt Distribution
PRD-00148,Lumora Dairy Organic 838,Groceries,Dairy,46.59,63.15,Lumora Egypt Distribution
PRD-00084,Nimbus Bags Premium 128,Fashion,Bags,243.79,600.09,Nimbus Egypt Distribution
PRD-00015,Orbex Audio Plus 488,Electronics,Audio,2378.6,5715.8,Orbex Egypt Distribution
PRD-00111,Nexis Makeup Nourishing 254,Beauty & Personal Care,Makeup,138.69,291.55,Nexis Egypt Distribution
PRD-00087,Solara Bags Signature 294,Fashion,Bags,441.71,937.05,Solara Egypt Distribution
PRD-00029,Kaelo Cookware Modern 723,Home & Kitchen,Cookware,676.84,1141.21,Kaelo Egypt Distribution
PRD-00139,Drexel Snacks Premium 868,Groceries,Snacks,98.29,195.93,Drexel Egypt Distribution
PRD-00078,Orbex Shoes Casual 125,Fashion,Shoes,334.69,803.87,Orbex Egypt Distribution
PRD-00180,Kaelo Bicycles Performance 234,Sports & Outdoors,Bicycles,3717.92,6579.05,Kaelo Egypt Distribution
PRD-00023,Orbex Accessories Ultra 263,Electronics,Accessories,6399.01,EGP 11190.64,Orbex Egypt Distribution
PRD-00126,Orbex Personal Hygiene Nourishing 229,Beauty & Personal Care,Personal Hygiene,252.57,340.64,Orbex Egypt Distribution
PRD-00045,Nexis Home Decor Deluxe 512,Home & Kitchen,Home Decor,2211.82,4956.18,Nexis Egypt Distribution
PRD-00076,Nexis Shoes Premium 898,Fashion,Shoes,875.03,2045.06,Nexis Egypt Distribution
PRD-00012,Kaelo Audio Plus 750,Electronics,Audio,EGP 6722.65,9488.69,Kaelo Egypt Distribution
PRD-00123,Solara Fragrances Radiant 954,Beauty & Personal Care,Fragrances,68.5,83.93,Solara Egypt Distribution
PRD-00154,Zenvo Dairy Fresh 391,Groceries,Dairy,99.19,175.83,Zenvo Egypt Distribution
PRD-00146,Vantix Pantry Staples Classic 666,Groceries,Pantry Staples,110.88,194.39,Vantix Egypt Distribution
PRD-00167,Kaelo Outdoor Gear Endurance 173,Sports & Outdoors,Outdoor Gear,332.59,741.81,Kaelo Egypt Distribution
PRD-00063,Kaelo Men's Clothing Slim Fit 457,Fashion,Men's Clothing,1330.83,3118.2,Kaelo Egypt Distribution
PRD-00011,Kaelo Audio Pro 975,Electronics,Audio,2092.49,2785.74,Kaelo Egypt Distribution
PRD-00075,Vantix Shoes Classic 466,Fashion,Shoes,378.31,576.69,Vantix Egypt Distribution
